"pixel_x","pixel_y","cell_ID"
6887.7,-6962.3,"27x25"
6891.4,-7362.7,"27x27"
6878.5,-7765.3,"27x29"
6882.9,-8161.4,"27x31"
6892.2,-8566.9,"27x33"
6888.3,-8960.4,"27x35"
6880.5,-9361.6,"27x37"
6877.1,-9765.5,"27x39"
6888.4,-10166.2,"27x41"
6887.5,-10568.9,"27x43"
6877.8,-10970.2,"27x45"
6880.5,-11367.5,"27x47"
6899.7,-11789.2,"27x49"
6889.2,-12167,"27x51"
7077.4,-3958.5,"28x10"
7064.6,-4354.5,"28x12"
7066,-4754.1,"28x14"
7069.7,-5156.9,"28x16"
7074.4,-5559.3,"28x18"
7059,-5956.1,"28x20"
7062.4,-6355.5,"28x22"
7067.4,-6761.1,"28x24"
7080.3,-7158.9,"28x26"
7063.2,-7559.2,"28x28"
7064.3,-7951.7,"28x30"
7066,-8365.8,"28x32"
7066.5,-8764,"28x34"
7058.4,-9164.3,"28x36"
7058.6,-9562.1,"28x38"
7061.8,-9964.1,"28x40"
7068.2,-10364.9,"28x42"
7068.3,-10770.6,"28x44"
7062.3,-11166.7,"28x46"
7059.4,-11565.7,"28x48"
7259.3,-4157.6,"29x11"
7246.4,-4557.3,"29x13"
7247.2,-4957.3,"29x15"
7249.9,-5357.1,"29x17"
7253.3,-5755.6,"29x19"
7243.5,-6151.2,"29x21"
7246.2,-6555.4,"29x23"
7253.6,-6959.9,"29x25"
7252.9,-7356.7,"29x27"
7241.5,-7762.8,"29x29"
7242.9,-8156.6,"29x31"
7249,-8564.8,"29x33"
7249.1,-8960.5,"29x35"
7239.9,-9360.9,"29x37"
7239.9,-9761.6,"29x39"
7247.3,-10162.1,"29x41"
7249.1,-10568.3,"29x43"
7239.3,-10972.1,"29x45"
7238.1,-11360.3,"29x47"
7248.5,-11764.1,"29x49"
7414,-4358.2,"30x12"
7434.6,-4771.6,"30x14"
7427.1,-5164.9,"30x16"
7416,-5556.2,"30x18"
7414.4,-5959.1,"30x20"
7406.9,-6363.8,"30x22"
7431.4,-6770.1,"30x24"
7428.8,-7170.2,"30x26"
7418.6,-7562.2,"30x28"
7411.8,-7954.6,"30x30"
7422.1,-8356.1,"30x32"
7421.8,-8751.1,"30x34"
7408.8,-9163,"30x36"
7403.7,-9567.3,"30x38"
7405.7,-9960.8,"30x40"
7418.1,-10365.8,"30x42"
7413,-10767.3,"30x44"
7404.9,-11172,"30x46"
7413.2,-11566.7,"30x48"
7427,-11969.2,"30x50"
7433,-12372.1,"30x52"
7592.8,-4561.5,"31x13"
7607.8,-4962.8,"31x15"
7604.8,-5363.5,"31x17"
7600.9,-5765.7,"31x19"
7597.3,-6156.6,"31x21"
7604.3,-6567.5,"31x23"
7605.2,-6968.5,"31x25"
7596.3,-7354.7,"31x27"
7598.1,-7762.9,"31x29"
7594.6,-8160.3,"31x31"
7600.1,-8556.1,"31x33"
7599,-8961.8,"31x35"
7588.3,-9360.3,"31x37"
7586.2,-9757.6,"31x39"
7590.7,-10161.2,"31x41"
7598.9,-10560.9,"31x43"
7582.8,-10967,"31x45"
7583.9,-11365.4,"31x47"
7593.7,-11767.9,"31x49"
7613.1,-12169.1,"31x51"
7788.1,-4775,"32x14"
7787.2,-5161.9,"32x16"
7785.4,-5565,"32x18"
7772.8,-5957,"32x20"
7779.6,-6365.9,"32x22"
7787,-6753.8,"32x24"
7782,-7156.5,"32x26"
7779.5,-7555.9,"32x28"
7767.4,-7957.7,"32x30"
7775.3,-8355.5,"32x32"
7781.6,-8754.7,"32x34"
7775.1,-9158.5,"32x36"
7769.6,-9560.7,"32x38"
7766.5,-9957.1,"32x40"
7772.9,-10365.5,"32x42"
7777.8,-10764.6,"32x44"
7762.1,-11168.3,"32x46"
7770.7,-11559.4,"32x48"
7785.4,-11967.7,"32x50"
7787.8,-12368.7,"32x52"
7964.5,-5363.8,"33x17"
7968.4,-5766.7,"33x19"
7956.8,-6159.8,"33x21"
7968,-6571,"33x23"
7982.3,-6975,"33x25"
7976.3,-7364.6,"33x27"
7961.4,-7765.4,"33x29"
7976.3,-8159.6,"33x31"
7964.5,-8557,"33x33"
7957.8,-8962.8,"33x35"
7950.4,-9366.3,"33x37"
7947.3,-9760.4,"33x39"
7954.1,-10169.6,"33x41"
7954.2,-10564.6,"33x43"
7947.8,-10969.3,"33x45"
7964.7,-11370.8,"33x47"
7955.1,-11771.9,"33x49"
8148.1,-5548.6,"34x18"
8140,-5954.9,"34x20"
8137.7,-6356.7,"34x22"
8150.5,-6753.3,"34x24"
8141.2,-7158.9,"34x26"
8135.9,-7563.6,"34x28"
8139.6,-7958,"34x30"
8142.7,-8358.6,"34x32"
8136.6,-8753.4,"34x34"
8137.8,-9161.2,"34x36"
8136.3,-9561.5,"34x38"
8141,-9960.8,"34x40"
8140.8,-10365.7,"34x42"
8145.4,-10765.4,"34x44"
8137.5,-11163.8,"34x46"
8143.8,-11563.9,"34x48"
8147,-11963.5,"34x50"
8332.5,-5358.1,"35x17"
8329.4,-5753.7,"35x19"
8316.7,-6152.1,"35x21"
8323.5,-6559.2,"35x23"
8324.5,-6955.8,"35x25"
8321.9,-7364.3,"35x27"
8327.7,-7759.8,"35x29"
8322.5,-8157,"35x31"
8315.6,-8554.9,"35x33"
8321,-8956.1,"35x35"
8313.7,-9358.8,"35x37"
8321.6,-9750.4,"35x39"
8325.4,-10160.4,"35x41"
8327.6,-10565.2,"35x43"
8317.1,-10962.9,"35x45"
8324.2,-11363.8,"35x47"
8327.7,-11761.1,"35x49"
8502.3,-5949.6,"36x20"
8501.3,-6351.1,"36x22"
8497.3,-6754.5,"36x24"
8505.7,-7147.7,"36x26"
8508.9,-7559.7,"36x28"
8500.1,-7952.8,"36x30"
8499.6,-8353.6,"36x32"
8498.9,-8753.8,"36x34"
8503.5,-9157.1,"36x36"
8496.3,-9550.6,"36x38"
8501.6,-9957.7,"36x40"
8503.7,-10361.9,"36x42"
8506.8,-10758.2,"36x44"
8500.7,-11160.2,"36x46"
8504.1,-11557.6,"36x48"
8506.9,-11954.6,"36x50"
8687.8,-5751,"37x19"
8680,-6150.5,"37x21"
8684.7,-6554.4,"37x23"
8677.6,-6949.2,"37x25"
8681.7,-7352.7,"37x27"
8682.1,-7757.2,"37x29"
8682.8,-8157.7,"37x31"
8672.3,-8556.2,"37x33"
8682.3,-8953.5,"37x35"
8673.8,-9356.4,"37x37"
8674,-9756.9,"37x39"
8684.4,-10158.4,"37x41"
8687.3,-10557.5,"37x43"
8677.2,-10961.2,"37x45"
8683.7,-11357.7,"37x47"
8687.5,-11756.4,"37x49"
8863.7,-5558.5,"38x18"
8860.7,-5953.9,"38x20"
8857.7,-6355.4,"38x22"
8856.7,-6755.2,"38x24"
8865.7,-7158,"38x26"
8855.5,-7562.3,"38x28"
8852.5,-7959.2,"38x30"
8859.8,-8356.6,"38x32"
8862.7,-8750.6,"38x34"
8855.2,-9163.5,"38x36"
8857.1,-9561.4,"38x38"
8858.8,-9962.8,"38x40"
8861.3,-10358.6,"38x42"
8863.8,-10761.4,"38x44"
8859.5,-11159.4,"38x46"
8858.9,-11560.5,"38x48"
9043.1,-5766.8,"39x19"
9037.4,-6161.7,"39x21"
9039.2,-6566.6,"39x23"
9036.1,-6961,"39x25"
9049.2,-7363.3,"39x27"
9032.3,-7767.5,"39x29"
9034.5,-8166.4,"39x31"
9040.5,-8557.1,"39x33"
9041.7,-8965.2,"39x35"
9033.6,-9365.6,"39x37"
9035.8,-9764.6,"39x39"
9040.3,-10173,"39x41"
9044.6,-10569.1,"39x43"
9036.1,-10966.8,"39x45"
9038.3,-11368.4,"39x47"
9041.5,-11766.9,"39x49"
9217.8,-5960.5,"40x20"
9217,-6361.4,"40x22"
9217,-6761.5,"40x24"
9224.7,-7161.9,"40x26"
9209.8,-7563.4,"40x28"
9210.2,-7969.2,"40x30"
9215.6,-8365.3,"40x32"
9221,-8762.1,"40x34"
9220.6,-9168.3,"40x36"
9215.9,-9559.7,"40x38"
9215,-9972.9,"40x40"
9218.6,-10361.9,"40x42"
9219.3,-10766.5,"40x44"
9214.2,-11166,"40x46"
9215.9,-11566,"40x48"
9397.4,-6157.7,"41x21"
9401.2,-6566.1,"41x23"
9407.7,-6963,"41x25"
9404.8,-7356.1,"41x27"
9394.4,-7763.5,"41x29"
9397.5,-8165,"41x31"
