ID	X	Y
cell_6531	999.702927110084	29178.1389313806
cell_6181	1681.86885928174	37321.6873931256
cell_655	18842.4234419267	26948.404867355
cell_868	18586.986027668	22602.2058951046
cell_4748	7461.83840453158	42949.1068118381
cell_6720	1040.11338917249	44720.3062194775
cell_4630	5883.76941963951	44115.8278979197
cell_2061	14093.5647824183	31575.938087991
cell_4323	11504.5940560502	19746.5203995755
cell_6513	2076.05783083889	29081.8531770521
cell_6288	3919.70382260333	33218.3556705847
cell_6096	3987.5590991421	38428.229285943
cell_243	19380.2376379225	37035.4499364183
cell_6353	2402.82052988926	32537.586847901
cell_4449	13250.991650223	11058.3842506053
cell_697	17700.5217771141	27421.7109789904
cell_89	21814.6100124137	31436.3667507654
cell_6153	2559.70291053016	34706.4319638694
cell_5113	8338.29585847557	33181.6843340384
cell_5696	3413.47503759469	44882.6656799681
cell_2123	12707.1576017792	31244.7902639968
cell_4768	6999.64085977052	42640.5423430443
cell_4252	10009.9122463102	25219.8344616191
cell_3462	10275.3577178833	42544.1521694048
cell_2510	13394.4187587891	25294.9784029325
cell_3574	12686.526395526	37851.651540556
cell_6456	4725.78108909394	28022.3362444657
cell_4035	11262.3092963184	28885.9487511181
cell_5698	3341.61750640574	45266.3186554821
cell_5488	7867.04225802961	25857.2850663941
cell_4596	6769.72106598328	43848.5018724713
cell_6193	1397.70918247818	34630.5468199388
cell_6251	4709.11867433436	32040.8386191144
cell_6490	3376.95437607612	28725.0847144368
cell_4752	7428.32542342972	39071.7227597331
cell_5804	1040.11338917249	44720.3062194775
cell_5793	1326.02622951654	46286.7433392255
cell_6496	3138.90803847408	28701.4213722297
cell_2253	13874.8177266187	29543.2491891862
cell_1906	12688.6474066697	37851.4484587343
cell_5057	4714.76254422768	35892.2008704679
cell_2224	14593.2203827238	27587.7770351254
cell_2208	15109.2804826247	29349.6318478231
cell_2282	13158.9694210952	28998.3318850965
cell_212	20369.1521116525	34804.8983716866
cell_4782	6784.78615787066	43194.4194316008
cell_1495	17712.5558440804	2726.3025499176
cell_5444	4725.78108909394	28022.3362444657
cell_2443	14728.6879989695	24068.6131919996
cell_6529	1120.42945059813	29299.3085633416
cell_634	19324.5399554396	29058.4488305969
cell_4270	9262.86830109774	23873.4385069573
cell_6422	1069.86014852584	33922.7874973688
cell_818	17110.015985926	24259.6333211953
cell_6182	1674.0305786022	35120.2765359337
cell_5923	3115.2885997716	38974.9045165519
cell_4032	11364.4176365454	27965.7284822185
cell_5564	8840.77793099788	22137.5500194235
cell_4407	13009.1975219466	17241.5342177022
cell_4893	8980.43655625689	36108.1757973127
cell_6508	2404.31275817074	30483.6168057349
cell_4274	9069.0732587142	23565.6375142498
cell_6172	1902.65518478558	34609.0545506462
cell_3707	9730.18585818018	38727.2106497224
cell_5794	1354.74192179345	45180.4132239482
cell_4300	12597.8981891273	22228.8499074984
cell_3422	11387.6327208183	42008.1595593592
cell_2753	14040.6516575823	16092.4725050444
cell_6369	2120.48977208055	31900.7186551649
cell_2467	14244.6219988361	25960.4884914087
cell_3948	13158.9694210952	28998.3318850965
cell_4432	12871.180556607	11013.2704201567
cell_1006	19211.4751607882	16561.7473462792
cell_736	20224.8833687894	26274.3236312349
cell_301	17732.7235065109	35995.2961788162
cell_5947	2593.30489887659	39755.3129024276
cell_842	20534.2657418185	19285.0329846462
cell_4166	13305.6212440296	25389.6561682863
cell_5448	9262.86830109774	23873.4385069573
cell_5233	5814.46696579289	34178.4846806509
cell_6517	1848.63945532716	28792.5919401311
cell_6067	4788.35527116973	35828.4066923927
cell_3745	8980.43655625689	36108.1757973127
cell_3713	9642.06851648838	35246.2879677559
cell_6315	3277.61063767845	34331.7053250057
cell_2739	15292.099317619	16553.4765240371
cell_5403	6326.03688243125	29713.3887367139
