ID	X	Y
cell_299	1148.63	414.39
cell_300	1105.06	257.98
cell_301	872.3	1904.6
cell_302	814.2	1273.9
cell_303	812.6	1803.1
cell_304	807	174.8
cell_305	726	1936
cell_306	561.4	695.89
cell_307	544.6	602.98
cell_308	551.4	212.18
cell_309	537.4	355.41
cell_310	465.4	496.92
cell_311	368.6	644.44
cell_312	328.3	374.85
cell_313	226.7	546.78
cell_314	217.7	411.24
cell_315	847.5	1202.5
cell_316	764.7	1411.1
cell_317	1873.8	734.12
cell_318	1859.24	1601.5
cell_319	1841.17	1495.3
cell_320	1760.65	1033.3
cell_321	1751.33	723.27
cell_322	1755.18	863.07
cell_323	1720.31	1135.9
cell_324	1694.06	1297.7
cell_325	1644.04	701.05
cell_326	1629.2	854.93
cell_327	1635.94	352.2
cell_328	1607.28	995.24
cell_329	1595.49	1091.3
cell_330	1587.94	1468.1
cell_331	1520.62	1285.5
cell_332	1508.89	1700.8
cell_333	1481.06	653.28
cell_334	1441.38	726.66
cell_335	1454.3	1234
cell_336	1445.87	877.47
cell_337	1399.29	432.99
cell_338	1406.53	1599.6
cell_339	1389.91	1184
cell_340	1394.29	1715.2
cell_341	1351.86	966.9
cell_342	1342.02	856.05
cell_343	1326.61	716.81
cell_344	1319.78	1873.1
cell_345	1315.75	366.31
cell_346	1305.31	1698
cell_347	1256.51	1441.5
cell_348	1280.08	985.08
cell_349	1278.99	1559.7
cell_350	1276.22	482.59
cell_351	1265.13	859.35
cell_352	1243.84	1768.8
cell_353	1235.66	1052.8
cell_354	1225.99	469.33
cell_355	1195.46	1909.7
cell_356	1177.91	699.51
cell_357	1161.15	993.52
cell_358	1166.76	475.36
cell_359	1153.05	1725.6
cell_360	1134.39	775.74
cell_361	1144.01	914.75
cell_362	1149.4	1374.1
cell_363	1118.09	847.67
cell_364	1131.49	1124.1
cell_365	1112.48	499
cell_366	1121.25	336.15
cell_367	1099.19	1539.6
cell_368	1036.4	1473.9
cell_369	1007.1	904.01
cell_370	992.3	520.84
cell_371	958.9	413.05
cell_372	958.8	1345.6
cell_373	937.6	1487.5
cell_374	925.8	1010.8
cell_375	916	271.68
cell_376	900.9	475.72
cell_377	909.7	1259.8
cell_378	891	580.9
cell_379	870.4	1083.2
cell_380	875.6	1612.4
cell_381	883.7	748.67
cell_382	843.5	1758.6
cell_383	838.5	894.31
cell_384	829.4	1354
cell_385	778.8	1227.8
cell_386	770.2	536.66
cell_387	724.9	1534.4
cell_388	727.2	784.88
cell_389	718.9	432.49
cell_390	693.9	1147.6
cell_391	659.2	303.16
cell_392	613	808.9
cell_393	589.2	1609.4
cell_394	584.1	1101.1
cell_395	567.1	972.21
cell_396	543.8	1185.6
cell_397	535.9	1413.4
cell_398	534	1297.3
cell_399	525.7	762.65
cell_400	515.3	430.62
cell_401	496.5	1702.9
cell_402	488.8	592.77
cell_403	487	1867
cell_404	464.6	1413.6
cell_405	445.5	1781.4
cell_406	453.7	1137.3
cell_407	422.6	422.92
cell_408	415.1	1050.7
cell_409	399.5	1219.8
cell_410	374.1	843.53
cell_411	364.2	1895.4
cell_412	316.5	447.82
cell_413	315.8	538.71
cell_414	306.3	1185.9
cell_415	279.9	972.19
cell_416	280.3	325.14
cell_417	308	1581.5
cell_418	270.2	1802.9
cell_419	214.2	1108.7
cell_420	1553.6	1596.6
cell_421	1400.73	1298.9
cell_422	1328.42	1352.2
cell_423	1796.55	1008.4
cell_424	1774.78	1253.3
cell_425	1746.86	828.07
cell_426	1732.85	1175.3
cell_427	1705.75	1496.1
cell_428	1639.59	787.84
cell_429	1643.12	637.7
cell_430	1635.14	1535.8
cell_431	1604.5	1049.9
cell_432	1563.17	856.5
cell_433	1540.02	1431.2
cell_434	1493.25	1365.5
cell_435	1505.66	1669.5
cell_436	1478.55	649.07
cell_437	1455.99	1457.3
cell_438	1453.6	1748.3
cell_439	1405.06	1142.4
cell_440	1382.05	1401.1
cell_441	1368.87	594.37
cell_442	1352.68	1462.6
cell_443	1344.51	912.72
cell_444	1259.88	979.93
cell_445	1267.71	572.9
cell_446	1247.48	1199.9
cell_447	1188.47	1052.5
cell_448	1163.24	1476.8
cell_449	1139.64	1025.6
cell_450	1119.79	1694.6
cell_451	1115.25	756.22
cell_452	1125.99	1346.7
cell_453	1083.28	1015
cell_454	1070.36	1214.2
cell_455	1033.9	1511
cell_456	974.1	1704.5
cell_457	977	514.98
cell_458	961.2	1140.8
cell_459	934.7	360.99
cell_460	913.6	1457.5
cell_461	909.9	723.69
cell_462	869	548.96
cell_463	860.3	401.67
cell_464	865.5	1751
cell_465	859.6	649.14
cell_466	816.1	590.47
cell_467	786.2	1389.3
cell_468	781.2	704.43
cell_469	772.9	650.71
cell_470	765.3	433.74
cell_471	711.5	357.85
cell_472	711.9	1526.8
cell_473	697.5	748.14
cell_474	652.9	611.71
