558	921	11
562	882	9
565	539	6
564	1214	6
568	91	13
567	112	6
571	1435	6
574	1047	6
574	1086	6
576	907	7
577	943	7
576	1107	10
579	925	6
583	1532	8
589	1131	6
589	636	7
590	1495	12
595	1165	12
599	975	8
598	1446	6
604	700	6
605	529	7
606	1033	6
605	1459	6
607	1476	9
615	1286	8
614	1215	7
619	939	11
620	1119	6
621	1326	12
633	536	7
636	1328	7
637	1370	6
638	1286	6
637	1130	7
640	1462	8
643	482	7
657	974	6
653	1367	15
664	1132	8
666	1061	7
669	1480	8
673	1195	8
674	1235	7
674	1076	6
674	1110	8
683	1147	6
685	928	7
687	1366	10
701	1268	6
709	1314	8
710	1413	7
711	1383	7
718	1067	7
723	858	8
727	1503	6
728	1218	6
737	1280	6
740	1297	6
744	1092	6
756	1468	6
768	1422	12
772	1267	7
781	1347	7
784	939	8
785	1037	6
818	1486	13
836	1234	8
844	84	10
853	1391	8
874	1051	10
888	988	6
1599	1479	12
3	1474	10
25	181	10
27	62	9
27	148	8
30	137	6
30	797	6
40	78	6
44	907	8
49	771	14
53	575	13
54	337	10
69	1425	10
82	271	10
81	610	19
98	18	6
105	1405	9
115	970	11
117	850	9
130	1025	6
160	414	8
161	883	6
184	521	6
186	843	9
191	484	13
207	1035	8
211	1276	11
213	1476	6
220	1509	7
227	1356	23
233	1221	9
235	969	8
254	181	9
254	1244	7
257	1024	6
261	1164	8
261	147	6
275	547	6
280	701	9
281	606	9
286	201	7
293	126	11
300	386	9
302	871	9
303	331	8
309	926	8
319	491	12
318	1399	11
326	1094	11
334	146	9
335	1269	8
344	262	6
381	263	10
386	67	7
388	322	10
393	680	6
395	1069	10
395	238	7
406	391	6
409	405	6
426	527	8
430	1096	10
426	805	9
428	367	6
437	855	8
446	107	8
448	467	7
448	1025	8
453	790	8
462	751	9
465	642	6
476	84	9
482	186	9
483	65	6
485	287	7
485	732	7
484	866	9
489	512	7
495	483	12
493	1480	9
494	1121	7
496	609	6
495	695	8
499	1205	6
502	211	7
512	125	9
517	1209	6
531	369	9
540	399	11
545	42	9
561	620	12
560	794	15
