	ACOB	OBDOP1	OBDOP2-OBINH123	OBINH4	OBINH5	OBNBL12	OBNBL3	OBNBL45	OEC
Mt3	1	0	0	0	0	0	0	0	0
Lmo4	0	0	0	0	0	0	0	0	1
Rpl31	0	0	0	0	0	0	1	0	0
Cox5a	0	0	0	0	1	0	0	0	0
Tmsb10	0	0	0	0	0	1	1	0	0
Abhd3	1	0	0	0	0	0	0	0	0
Sox11	0	0	0	0	0	0	1	0	0
Chchd10	0	0	1	0	0	1	0	0	0
Ndrg2	1	0	0	0	0	0	0	0	1
Ccdc80	0	0	0	0	0	0	0	0	1
Ndufb9	0	0	0	0	1	0	0	0	0
Ctxn1	0	0	1	0	0	0	0	0	0
Rplp2	0	0	0	0	0	0	1	0	0
Ednrb	1	0	0	0	0	0	0	0	0
Sox4	0	0	0	0	0	0	1	0	0
Mpped2	0	0	0	0	0	0	1	0	0
Gpsm1	0	0	1	0	0	0	0	0	0
Synpr	0	1	1	0	0	0	0	0	0
Zic1	0	0	0	0	0	0	0	1	0
Lsamp	1	0	0	0	0	0	0	0	0
Gpr22	0	0	0	0	1	0	0	0	0
Fmo1	0	0	0	0	0	0	0	0	1
Ctsb	1	0	0	0	0	0	0	0	0
Gpr37l1	1	0	0	0	0	0	0	0	0
Spock3	0	0	0	1	0	0	0	0	0
Igf1	0	0	0	0	0	0	0	0	1
Ttyh3	1	0	0	0	0	0	0	0	0
Gad1	0	1	1	0	1	0	0	0	0
Apold1	0	0	0	0	0	0	0	1	0
Mllt11	0	1	0	0	0	1	1	0	0
Tspan15	0	0	0	0	0	0	0	0	1
Kcnd2	0	0	0	1	0	0	0	0	0
Atpif1	0	0	0	0	0	1	1	0	0
Atp5o	0	0	0	0	1	0	0	0	0
Rps3	0	0	0	0	0	0	1	0	0
Rpl19	0	0	0	0	0	0	1	0	0
Hist3h2ba	0	0	0	0	0	0	1	0	0
Trh	0	1	0	0	0	0	0	0	0
Npm1	0	0	0	0	0	0	1	0	0
Snrpe	0	0	0	0	0	0	1	0	0
Rpl37a	0	0	0	0	0	0	1	0	0
Rps8	0	0	0	0	0	0	1	0	0
Negr1	0	0	0	0	1	0	0	0	0
Ttyh1	1	0	0	0	0	0	0	0	1
Tst	1	0	0	0	0	0	0	0	0
Ptn	1	0	0	0	0	0	0	0	1
Osbpl1a	0	0	0	0	0	1	0	0	0
Tmem47	1	0	0	0	0	0	0	0	0
Nxph1	0	1	0	0	1	0	0	1	0
Ntrk2	1	0	0	0	0	0	0	0	0
Rpl21	0	0	0	0	0	0	1	0	0
Rps28	0	0	0	0	0	0	1	0	0
Cox6c	0	0	0	0	1	0	0	0	0
Sst	0	0	0	0	1	0	0	0	0
Agpat5	1	0	0	0	0	0	0	0	0
Tsc22d4	1	0	0	0	0	0	0	0	1
Gja1	1	0	0	0	0	0	0	0	1
Slc1a3	1	0	0	0	0	0	0	0	0
Cox7b	0	0	0	0	1	0	0	0	0
Rpl22	0	0	0	0	0	0	1	0	0
Atp6v1g1	0	1	0	0	0	0	0	0	0
Ndrg4	0	1	1	0	1	1	0	0	0
Map1b	0	0	0	0	0	1	1	0	0
Cpne7	0	1	0	0	0	0	0	0	0
Inhba	0	0	0	1	0	0	0	0	0
Igfbpl1	0	0	0	0	0	0	1	0	0
Cnn3	0	0	0	0	0	0	0	0	1
Prnp	1	0	0	0	0	0	0	0	0
Eif4a1	0	0	0	0	0	0	1	0	0
Ptma	0	0	0	0	0	0	1	0	0
Rps12	0	0	0	0	0	0	1	0	0
Adk	0	0	0	0	0	1	0	0	0
Cdh4	0	0	0	0	0	1	0	0	0
Celf4	0	1	0	0	0	0	0	1	0
Atp1b2	1	0	0	0	0	0	0	0	1
Pcsk1n	0	1	0	0	1	1	0	0	0
Rpl10	0	0	0	0	0	0	1	0	0
Selm	0	0	1	0	1	0	0	0	0
Nupr1	0	0	0	0	0	0	0	0	1
Rps15a	0	0	0	0	0	0	1	0	0
Epha5	0	0	1	0	1	0	0	0	0
Camk2b	0	0	1	0	0	0	0	0	0
H3f3b	0	0	0	0	0	0	1	1	0
Tmsb4x	0	0	0	0	0	0	1	0	0
Zbtb20	1	0	0	0	0	1	0	0	1
Olfm1	0	0	0	0	0	1	0	0	0
Rpl10a	0	0	0	0	0	0	1	0	0
Rps9	0	0	0	0	0	0	1	0	0
