CellID	ClusterName	ClusterID	Region
cell_1091	Inhibitory_Cnr1	14	White matter
cell_856	Inhibitory_Cnr1	14	Layer 6
cell_2462	Inhibitory_Cnr1	14	Layer 6
cell_2520	Inhibitory_Cnr1	14	Layer 6
cell_1908	Inhibitory_Cnr1	14	Layer 4
cell_850	Inhibitory_Cnr1	14	Layer 6
cell_16	Inhibitory_Cnr1	14	Layer 2-3 lateral
cell_3597	Inhibitory_Cnr1	14	Layer 3-4
cell_4667	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_5310	Inhibitory_Cnr1	14	Layer 6
cell_2258	Inhibitory_Cnr1	14	Layer 6
cell_5841	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_4410	Inhibitory_Cnr1	14	Hippocampus
cell_1835	Inhibitory_Cnr1	14	Layer 3-4
cell_2857	Inhibitory_Cnr1	14	White matter
cell_4115	Inhibitory_Cnr1	14	Layer 6
cell_1241	Inhibitory_Cnr1	14	Internal Capsule Caudoputamen
cell_5735	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_1619	Inhibitory_Cnr1	14	Layer 2-3 lateral
cell_4602	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_4065	Inhibitory_Cnr1	14	Layer 6
cell_2122	Inhibitory_Cnr1	14	Layer 5
cell_6209	Inhibitory_Cnr1	14	Layer 5
cell_3737	Inhibitory_Cnr1	14	Layer 5
cell_4574	Inhibitory_Cnr1	14	Layer 2-3 medial
cell_1715	Inhibitory_Cnr1	14	Layer 2-3 lateral
cell_3334	Inhibitory_IC	19	Layer 2-3 medial
cell_4979	Inhibitory_IC	19	Layer 4
cell_1455	Inhibitory_IC	19	White matter
cell_6042	Inhibitory_IC	19	Layer 4
cell_4733	Inhibitory_IC	19	Layer 4
cell_5071	Inhibitory_IC	19	Layer 5
cell_3742	Inhibitory_IC	19	Layer 5
cell_6091	Inhibitory_IC	19	Layer 5
cell_5127	Inhibitory_IC	19	Layer 5
cell_1473	Inhibitory_IC	19	White matter
cell_5540	Inhibitory_IC	19	Hippocampus
cell_3073	Inhibitory_IC	19	White matter
cell_1309	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1337	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_123	Inhibitory_IC	19	Layer 2-3 lateral
cell_6605	Inhibitory_IC	19	Pia Layer 1
cell_3922	Inhibitory_IC	19	Layer 5
cell_1494	Inhibitory_IC	19	White matter
cell_1347	Inhibitory_IC	19	White matter
cell_1352	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1338	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_4527	Inhibitory_IC	19	Layer 2-3 medial
cell_3470	Inhibitory_IC	19	Layer 2-3 medial
cell_4882	Inhibitory_IC	19	Layer 4
cell_29	Inhibitory_IC	19	Layer 2-3 lateral
cell_1328	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_7060	Inhibitory_IC	19	Layer 4
cell_1653	Inhibitory_IC	19	Layer 2-3 medial
cell_5137	Inhibitory_IC	19	Layer 6
cell_1353	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1111	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_5031	Inhibitory_IC	19	Layer 5
cell_6381	Inhibitory_IC	19	Layer 6
cell_185	Inhibitory_IC	19	Layer 2-3 lateral
cell_1595	Inhibitory_IC	19	Layer 2-3 lateral
cell_6537	Inhibitory_IC	19	Hippocampus
cell_3207	Inhibitory_IC	19	Ventricle
cell_1355	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_2109	Inhibitory_IC	19	Layer 4
cell_1447	Inhibitory_IC	19	White matter
cell_3410	Inhibitory_IC	19	Pia Layer 1
cell_3896	Inhibitory_IC	19	Layer 5
cell_2146	Inhibitory_IC	19	Layer 6
cell_3734	Inhibitory_IC	19	Layer 4
cell_286	Inhibitory_IC	19	Layer 2-3 lateral
cell_3343	Inhibitory_IC	19	Layer 2-3 medial
cell_3932	Inhibitory_IC	19	Layer 5
cell_1343	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1472	Inhibitory_IC	19	White matter
cell_1540	Inhibitory_IC	19	Ventricle
cell_1484	Inhibitory_IC	19	White matter
cell_1342	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1164	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_3661	Inhibitory_IC	19	Layer 5
cell_3382	Inhibitory_IC	19	Layer 2-3 medial
cell_1616	Inhibitory_IC	19	Pia Layer 1
cell_5701	Inhibitory_IC	19	Pia Layer 1
cell_1335	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1457	Inhibitory_IC	19	White matter
cell_1476	Inhibitory_IC	19	White matter
cell_4736	Inhibitory_IC	19	Layer 2-3 medial
cell_4518	Inhibitory_IC	19	Layer 2-3 medial
cell_4874	Inhibitory_IC	19	Layer 4
cell_1450	Inhibitory_IC	19	White matter
cell_3770	Inhibitory_IC	19	Layer 4
cell_4622	Inhibitory_IC	19	Layer 2-3 medial
cell_3102	Inhibitory_IC	19	Ventricle
cell_6170	Inhibitory_IC	19	Layer 5
cell_4751	Inhibitory_IC	19	Layer 2-3 medial
cell_1326	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_1633	Inhibitory_IC	19	Layer 2-3 medial
cell_1778	Inhibitory_IC	19	Layer 4
cell_143	Inhibitory_IC	19	Layer 4
cell_4541	Inhibitory_IC	19	Layer 2-3 medial
cell_348	Inhibitory_IC	19	Layer 2-3 lateral
cell_5849	Inhibitory_IC	19	Layer 4
cell_1331	Inhibitory_IC	19	Internal Capsule Caudoputamen
cell_5591	Inhibitory_IC	19	Pia Layer 1
cell_5165	Inhibitory_IC	19	Layer 6
cell_4545	Inhibitory_IC	19	Layer 2-3 medial
cell_6552	Inhibitory_IC	19	Hippocampus
cell_1512	Inhibitory_IC	19	White matter
cell_1480	Inhibitory_IC	19	White matter
cell_4929	Inhibitory_IC	19	Layer 4
cell_1470	Inhibitory_IC	19	White matter
cell_248	Inhibitory_IC	19	Layer 2-3 lateral
cell_5081	Inhibitory_IC	19	Layer 5
cell_2201	Inhibitory_IC	19	Layer 6
cell_368	Inhibitory_IC	19	Layer 4
cell_83	Inhibitory_IC	19	Layer 4
cell_1576	Inhibitory_IC	19	Layer 2-3 lateral
cell_3857	Inhibitory_Kcnip2	15	Layer 5
cell_7052	Inhibitory_Kcnip2	15	Layer 4
cell_3807	Inhibitory_Kcnip2	15	Layer 4
cell_5911	Inhibitory_Kcnip2	15	Layer 4
cell_3726	Inhibitory_Kcnip2	15	Layer 4
cell_4744	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_3324	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_3618	Inhibitory_Kcnip2	15	Layer 4
cell_4280	Inhibitory_Kcnip2	15	Hippocampus
cell_5752	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_2767	Inhibitory_Kcnip2	15	Hippocampus
cell_1973	Inhibitory_Kcnip2	15	Layer 4
cell_3669	Inhibitory_Kcnip2	15	Layer 4
cell_5725	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_2161	Inhibitory_Kcnip2	15	Layer 4
cell_186	Inhibitory_Kcnip2	15	Pia Layer 1
cell_2039	Inhibitory_Kcnip2	15	Layer 5
cell_2167	Inhibitory_Kcnip2	15	Layer 6
cell_6484	Inhibitory_Kcnip2	15	Hippocampus
cell_2304	Inhibitory_Kcnip2	15	Layer 6
cell_2771	Inhibitory_Kcnip2	15	Hippocampus
